nome,celular,tipo,ddd,city,state
MALIBU MMSP LTDA,19996778065,cel_limpo,19,MOGI MIRIM,SP
MALIBU PRESIDENTE ACADEMIA LTDA,19997623208,cel_limpo,19,PRESIDENTE PRUDENT,SP
TM ACADEMIA DE GINASTICA LTDA,19982461726,cel_limpo,19,HORTOLANDIA,SP
CAPRICORNIUS CENTRO DE TREINAMENTO LTDA,21964437275,cel_limpo,21,RIO DE JANEIRO,RJ
JULIANA TAVARES VIEIRA,21975602969,cel_limpo,21,CAXIAS DO SUL,RS
OLIMPO  CIA LTDA,21996080616,cel_limpo,21,RIO DE JANEIRO,RJ
STETICA SPORT CENTER LTDA,21972105855,cel_limpo,21,RIO DE JANEIRO,RJ
CSM COMERCIAL LTDA,31992964571,cel_limpo,31,VITORIA,ES
POWER FITNESS ACADEMIA BOM DESPACHO LTDA,31998034511,cel_limpo,31,BOM DESPACHO,MG
POWER FITNESS MARIANA ACADEMIA LTDA,31996109856,cel_limpo,31,MARIANA,MG
ROOTS WELLNESS - ONE BODY CENTER,34984081965,cel_limpo,34,UBERLANDIA,MG
ACADEMIA BIOFISIC BATATAIS LTDA,35988319950,cel_limpo,35,BATATAIS,SP
BIO HEALTH FITNESS  WELLNESS LTDA,35988101480,cel_limpo,35,POCOS DE CALDAS,MG
GOLD FITNESS ACADEMIA DE SAO LOURENCO LT,35987018823,cel_limpo,35,SAO LOURENCO,MG
ACADEMIA BLACK BULL FIT CAPAO RASO LTDA,41999242018,cel_limpo,41,CURITIBA,PR
SIMIONI COMERCIO E REPRESENTACAO LTDA,41999373026,cel_limpo,41,PAULO LOPES,SC
WOLNEI ROCHA DELLI,41988044465,cel_limpo,41,CURITIBA,PR
A R MAFRA CONFECCOES LTDA,43991252704,cel_limpo,43,GUAPIRAMA,PR
ELINEIA DA SILVA ALEXANDRE DAS NEVES 045,43996797269,cel_limpo,43,SIQUEIRA CAMPOS,PR
GABRIEL FARIA ISFER DE LIMA,47999299914,cel_limpo,47,BALNEARIO CAMBORIU,SC
JEFFERSON KAYAM DA ROCHA,47999356737,cel_limpo,47,SANTO ANTONIO DO D,GO
MARCOS GRACHER,47999891061,cel_limpo,47,BALNEARIO CAMBORIU,SC
"BLACK IRON ACADEMIA DE MUSCULACAO, ARTES",48991200826,cel_limpo,48,FLORIANOPOLIS,SC
ZEST IMPORTACAO E COMERCIO LTDA DEMAIS,54981114342,cel_limpo,54,ITAJAI,SC
ACADEMIA DUMBELL FITNESS LTDA,61992729670,cel_limpo,61,BRASILIA,DF
ACADEMIA E ATIVIDADES DESPORTIVAS LM LTD,61996585780,cel_limpo,61,BRASILIA,DF
AL ACADEMIA DE GINASTICA LTDA,61981775694,cel_limpo,61,AGUAS LINDAS DE GO,GO
DH FITNESS LTDA,61992300202,cel_limpo,61,BRASILIA,DF
FILIPE OLIVEIRA MARTINS,61984775841,cel_limpo,61,BRASILIA,DF
FORTE MUSCULACAO E FISIOTERAPIA LTDA,62999775383,cel_limpo,62,GOIANIA,GO
JR COMERCIO DE EQUIPAMENTOS FITNESS LTDA,62981592547,cel_limpo,62,APARECIDA DE GOIAN,GO
MEGA FITNESS CENTRO ESPORTIVO LTDA,62999658838,cel_limpo,62,SENADOR CANEDO,GO
ACADEMIA PROFIT LTDA,63981323839,cel_limpo,63,ARAGUAINA,TO
STUDIO NATALIA ALEXANDRE LTDA,64999634865,cel_limpo,64,JATAI,GO
GISA ACADEMIA LTDA,65999946869,cel_limpo,65,CUIABA,MT
WILLIAN OTAVIO SCHUMANN,66999046214,cel_limpo,66,SORRISO,MT
VILHENA CENTRO DE ATIVIDADES FISICAS LTD,69981117032,cel_limpo,69,VILHENA,RO
RLS DISTRIBUIDORA DE FRUTAS LTDA,71991322695,cel_limpo,71,SALVADOR,BA
LC HIIT ESTUDIO FITNESS E ACADEMIA LTDA,75981334320,cel_limpo,75,SANTO ANTONIO DE J,BA
VILLA GYM ACADEMIA LTDA,75999910383,cel_limpo,75,PAULO AFONSO,BA
CENTRO DE ESTETICA E FISIOTERAPIA INOVAC,81983231195,cel_limpo,81,RECIFE,PE
FRANCISCO GEOVANE NASCIMENTO DE OLIVEIRA,81996365537,cel_limpo,81,IPUBI,PE
VBBESSA LTDA,83988105149,cel_limpo,83,JOAO PESSOA,PB
D J R DE FRANCA,84987659647,cel_limpo,84,NATAL,RN
LIBRA PRIME LTDA,84999260569,cel_limpo,84,NATAL,RN
ACADEMIA PASSOS DE CONDICIONAMENTO E MUS,85994166292,cel_limpo,85,FORTALEZA,CE
MAX MOVE ACADEMIAS LTDA,85987783289,cel_limpo,85,FORTALEZA,CE
TOP UP 11 LTDA,85999975518,cel_limpo,85,FORTALEZA,CE
CAJU INCORPORADORA LTDA,86994064602,cel_limpo,86,CAJUEIRO DA PRAIA,PI
A N ALEXANDRE LTDA,91983641818,cel_limpo,91,SANTA MARIA DO PAR,PA
DANIEL LIMA GONZATTO,11998502951,cel_recup,11,CAXIAS DO SUL,RS
EDUARDO RIBEIRO VICENTE,11998592949,cel_recup,11,SAO PAULO,SP
GYMFLIX ACADEMIA,11981844030,cel_recup,11,BIRIGUI,SP
MOTION FIT ITAQUERA ACADEMIA LTDA,11989262177,cel_recup,11,SAO PAULO,SP
MOTION FIT SANTO ANDRE ACADEMIA LTDA,11987944415,cel_recup,11,SAO PAULO,SP
NITROGYM TAMBORE,11999999999,cel_recup,11,BARUERI,SP
PADRAO TREINAMENTOS PERSONALIZADO LTDA,11971489848,cel_recup,11,SUZANO,SP
QUALITY EXCEL IMPORTACAO DE PRODUTOS ESP,11993093096,cel_recup,11,SAO PAULO,SP
T. C. P. GRECO CONDICIONAMENTO FISICO E ,11972550908,cel_recup,11,JUNDIAI,SP
UTF ICARAI ACADEMIA DE GINASTICA LTDA,11971535509,cel_recup,11,NITEROI,RJ
VR ACADEMIA GUARULHOS LTDA,11992414726,cel_recup,11,GUARULHOS,SP
BIONDI FITNESS STUDIO LTDA,12981687416,cel_recup,12,TAUBATE,SP
UBATUBA TRAINING GYM LTDA,12985794668,cel_recup,12,UBATUBA,SP
MOTION FIT JACUI ACADEMIA LTDA,13991455573,cel_recup,13,SAO PAULO,SP
ASSOCIACAO RESERVA DOS YPES III,15997714331,cel_recup,15,TATUI,SP
ACADEMIA SKY CATANDUVA LTDA,16991955663,cel_recup,16,CATANDUVA,SP
GOLD GYM ACADEMIA LTDA,16991843501,cel_recup,16,SAO CARLOS,SP
SERGIO DE OLIVEIRA INDUSTRIA COMERCIO DE,17981491883,cel_recup,17,CEDRAL,SP
XR ACADEMIA E CENTRO DE TREINAMENTO LTDA,19974169661,cel_recup,19,SAO PAULO,SP
FABRICA PREMIUM OLEGARIO LTDA,21976139613,cel_recup,21,RIO DE JANEIRO,RJ
M & V ACADEMIA UTF,21985825407,cel_recup,21,RIO DE JANEIRO,RJ
UTF CACHAMORRA ACADEMIA DE GINASTICA LTD,21964816823,cel_recup,21,RIO DE JANEIRO,RJ
ACADEMIA K7 DE RESENDE LTDA,24999812042,cel_recup,24,RESENDE,RJ
ACADEMIA KONNEN VOLTA REDONDA LTDA,24999040248,cel_recup,24,VOLTA REDONDA,RJ
KPR ITAIPAVA ACADEMIA LTDA,24998669263,cel_recup,24,PETROPOLIS,RJ
ACADEMIA PLATAFORMA LTDA,27999499718,cel_recup,27,VITORIA,ES
SMART FIT CACHOEIRO LTDA,27999818693,cel_recup,27,CACHOEIRO DE ITAPE,ES
WELLNESS CLUB JARDIM DA PENHA LTDA,27988023178,cel_recup,27,VITORIA,ES
A&T FITNESS LTDA,31988414408,cel_recup,31,BELO HORIZONTE,MG
ACADEMIA PRATIQUE SAO BENTO LTDA,31998798422,cel_recup,31,BELO HORIZONTE,MG
ACADEMIA SAO SEBASTIAO FIT LTDA,31984022998,cel_recup,31,PALHOCA,SC
ACADEMIA VIDA ATIVA LTDA,31985040490,cel_recup,31,OURO PRETO,MG
CLUB BEAT LTDA,31997069798,cel_recup,31,BELO HORIZONTE,MG
VIVA BEM FITNESS LTDA,31985967434,cel_recup,31,OURO PRETO,MG
JHONE AUGUSTO CABRAL,32999990448,cel_recup,32,TOCANTINS,MG
ARENA 02 IRMAOS LTDA,33988573530,cel_recup,33,SAO JOAO EVANGELIS,MG
GARDEN GOLD ACADEMIA ALTO DO CORREGO LTD,34999757952,cel_recup,34,PARACATU,MG
GARDEN GOLD ACADEMIA BANDEIRANTES LTDA,34999759752,cel_recup,34,PARACATU,MG
LS CENTRO DE TREINAMENTO LTDA,34999749390,cel_recup,34,PRATA,MG
ORION FIT ACADEMIA LTDA,35987092572,cel_recup,35,VARGINHA,MG
ACOC COMERCIO E SERVICOS LTDA,37998134241,cel_recup,37,ITAUNA,MG
BNP COMERCIO E SERVICOS LTDA,37998660036,cel_recup,37,ITAUNA,MG
LCR COMERCIO E SERVICOS LTDA,37998097681,cel_recup,37,ITAUNA,MG
IFH FITNESS LTDA,38992489191,cel_recup,38,MONTES CLAROS,MG
A S CORPORATE LTDA,41995005367,cel_recup,41,COLOMBO,PR
SOLVE SOLUCOES LTDA,41988544642,cel_recup,41,CASCAVEL,PR
ACADEMIA LIFE FITNESS RIO AZUL LTDA.,42998521293,cel_recup,42,RIO AZUL,PR
ANDREIA SIMOES RODRIGUES FURTADO - FACCO,43991033817,cel_recup,43,GUAPIRAMA,PR
FORCE ONE,44991145002,cel_recup,44,CHAPECO,SC
RODRIGO MONTANARI,46999036083,cel_recup,46,FRANCISCO BELTRAO,PR
CONDOMINIO RESIDENCIAL COSTAO DA BARRA,47999112145,cel_recup,47,BALNEARIO CAMBORIU,SC
DIEGO WELTER TREINAMENTOS LTDA,47984050699,cel_recup,47,BARRA VELHA,SC
EVOLVE FITNESS STORE LTDA,47996715867,cel_recup,47,CANOINHAS,SC
EVOLVE SARDA JARSCHEL FITNESS LTDA,47997237878,cel_recup,47,CANOINHAS,SC
FABRICA CT ITAJAI LTDA,47999559680,cel_recup,47,ITAJAI,SC
FÁBRICA CT BALNEÁRIO CAMBORIÚ LTDA,47999999999,cel_recup,47,BALNEARIO CAMBORIU,SC
JOTAKA CONFECCOES LTDA,47998411126,cel_recup,47,BARRA VELHA,SC
LOSI SOLUCOES LOGISTICAS LTDA,47997071780,cel_recup,47,ITAJAI,SC
MG LOG TRANSPORTES LTDA,47996565295,cel_recup,47,ITAJAI,SC
ROBERTO LUZ ACADEMIA LTDA,47984113011,cel_recup,47,BALNEARIO PICARRAS,SC
RODOCOSTA TRANSPORTES LTDA,47999940146,cel_recup,47,BIGUACU,SC
SANCO ARMAZENS LTDA,47996520630,cel_recup,47,ITAJAI,SC
FOR FITNESS SC MANUTENCAO E REPARO DE MA,48988421152,cel_recup,48,FLORIANOPOLIS,SC
SOLUTION FITNESS COMERCIO E IMPORTACAO L,48991066392,cel_recup,48,FLORIANOPOLIS,SC
SR7 COMERCIO E IMPORTAÃ‡ÃƑO LTDA,48999360345,cel_recup,48,PALHOCA,SC
SPORTMANIA INDUSTRIA E COMERCIO DE APARE,51997713800,cel_recup,51,CAMPO BOM,RS
ACADEMIA SIXGYM FARROUPILHA LTDA,54992246774,cel_recup,54,FARROUPILHA,RS
CORE FITNESS LTDA,54991909860,cel_recup,54,FLORIANOPOLIS,SC
W7 ACADEMIA GARIBALDI LTDA,54999861680,cel_recup,54,GARIBALDI,RS
ACADEMIA LUSTOSA III LTDA,61981339544,cel_recup,61,BRASILIA,DF
ACADEMIA PERFORMANCE FIT LTDA,61991729117,cel_recup,61,BRASILIA,DF
BAN BAN ATIVIDADES ESPORTIVAS LTDA,61999741730,cel_recup,61,BRASILIA,DF
CARDOSO E BARBOSA FITNESS LTDA,61992015731,cel_recup,61,BRASILIA,DF
E SILVA COMERCIO & SERVICOS LTDA,61985655267,cel_recup,61,BRASILIA,DF
GAMA FITNESS ACADEMIA LTDA,61998843968,cel_recup,61,BRASILIA,DF
IPE DOURADO PARTICIPACOES LTDA,61992898106,cel_recup,61,BRASILIA,DF
JHT SP COMERCIO DE PRODUTOS E EQUIPAMENT,61982178822,cel_recup,61,BRASILIA,DF
L  A FITNESS LTDA,61992804525,cel_recup,61,BRASILIA,DF
LAERCIO VIEIRA DE AGUIAR,61999191302,cel_recup,61,BRASILIA,DF
M SPORTS ARTIGOS ESPORTIVOS LTDA,61999762000,cel_recup,61,BRASILIA,DF
RODRIGUES & MARINHO FITNESS LTDA,61999754257,cel_recup,61,VALPARAISO DE GOIA,GO
ACADEMIA PLAY FIT LTDA,62991920954,cel_recup,62,APARECIDA DE GOIAN,GO
BRAVUS EQUIPAMENTOS-COMERCIO DE ARTIGOS ,62998119208,cel_recup,62,GOIANIA,GO
FITNESS LAND COMERCIO VAREJISTA DE MATER,62994475620,cel_recup,62,BRASILIA,DF
OFICIAL IMPORTS LTDA,62981294723,cel_recup,62,GOIANIA,GO
PLAZADORO ACADEMIA LTDA,62993236427,cel_recup,62,GOIANIA,GO
VK FITNESS LTDA,62991531249,cel_recup,62,GOIANIA,GO
ALTUS FITNESS ACADEMIA LTDA,63992194546,cel_recup,63,PORTO NACIONAL,TO
HIIT LIVE SERVICOS ESPORTIVOS LTDA,63984062365,cel_recup,63,PALMAS,TO
KARVE GYM LTDA,63992179266,cel_recup,63,PALMAS,TO
ACADEMIA POWER.ON LTDA,65984130616,cel_recup,65,PONTES E LACERDA,MT
BRINK MOBIL EQUIPAMENTOS EDUCACIONAIS LT,65992263891,cel_recup,65,BLUMENAU,SC
DOUGLAS PICCINI FEIL,66999023731,cel_recup,66,SINOP,MT
GAVIÕES JABAQUARA,66999034197,cel_recup,66,SÃO PAULO,SP
LIFETIME FITNESS LTDA,66996005343,cel_recup,66,PRIMAVERA DO LESTE,MT
STUDIO FITNESS LTDA,66999847337,cel_recup,66,RONDONOPOLIS,MT
T C ACADEMIA FITNESS LTDA,69999999999,cel_recup,69,PORTO VELHO,RO
JANAN PIMENTEL DAKOUR,73999036332,cel_recup,73,NOVA VICOSA,BA
LOBO EMPREENDIMENTOS LTDA,73981094280,cel_recup,73,CRUZ DAS ALMAS,BA
COMPLEXO FITNESS,74999988202,cel_recup,74,IRECE,BA
ALPHA GYM ACADEMIA LTDA,81998736398,cel_recup,81,PALMARES,PE
ANDUVI INDUSTRIA E COMERCIO LTDA,81991664820,cel_recup,81,JABOATAO DOS GUARA,PE
ARENNA PRIME LTDA,81986208880,cel_recup,81,RECIFE,PE
MEDUARDA BEZERRA LTDA,81994433492,cel_recup,81,CARUARU,PE
NORDESTE EMBALAGENS E DISTRIBUICAO LTDA,81987977806,cel_recup,81,RECIFE,PE
RW PRIME ACADEMIA OLINDA LTDA,81999443035,cel_recup,81,PAULISTA,PE
BG FIT PV CONDICIONAMENTO FISICO LTDA,82999815908,cel_recup,82,MACEIO,AL
GABRIEL SANTOS LTDA,82996166391,cel_recup,82,SANTANA DO IPANEMA,AL
GINSENG ACADEMIA E CONDICIONAMENTO FISIC,82991082345,cel_recup,82,RECIFE,PE
STARFIT FITNESS & WELLNESS LTDA,82996896908,cel_recup,82,CAPELA,AL
ACADEMIA KORPUS MANAIRA LTDA,83996791111,cel_recup,83,JOAO PESSOA,PB
ATLAS TRAINING CENTER LTDA,84988883887,cel_recup,84,NATAL,RN
GG POWER FITNESS CENTRO DE TREINAMENTOS ,84998923322,cel_recup,84,NATAL,RN
M F ACADEMIA LTDA,84999559503,cel_recup,84,NATAL,RN
MJ FITNESS LTDA,84999501952,cel_recup,84,EXTREMOZ,RN
N S DA CRUZ FERNANDES,84991682200,cel_recup,84,GOIANINHA,RN
R F P FERREIRA,84981506615,cel_recup,84,CAICARA DO RIO DO ,RN
ACADEMIA CENTRAL FIT LTDA,85988005861,cel_recup,85,FORTALEZA,CE
ACADEMIA DUMBBELLS LTDA,85989769930,cel_recup,85,FORTALEZA,CE
AYO WELLNESS LTDA,85981091350,cel_recup,85,FORTALEZA,CE
BRA AUTO CENTER LTDA,85994069084,cel_recup,85,TERESINA,PI
CENTRO DE ATIVIDADES FISICAS FITCLUB LTD,85988278897,cel_recup,85,FORTALEZA,CE
DOS SANTOS ACADEMIA LTDA,85991375956,cel_recup,85,TERESINA,PI
JOMARA ROCHA DE MELO,85987191303,cel_recup,85,CAUCAIA,CE
MAX PREMIUM ACADEMIAS LTDA,85989284432,cel_recup,85,EUSEBIO,CE
NC ACADEMIAS LTDA,85988208622,cel_recup,85,MARACANAU,CE
PLAYFIT CE LTDA,85988904358,cel_recup,85,EUSEBIO,CE
TOP UP MESSEJANA LTDA,85997317467,cel_recup,85,FORTALEZA,CE
BARRA GRANDE KITE CAMP LTDA,86999833345,cel_recup,86,CAJUEIRO DA PRAIA,PI
FOUR FIT ACADEMIA LTDA,86999999999,cel_recup,86,BARRAS,PI
REGO E OLIVEIRA ADVOCACIA,86981853141,cel_recup,86,BARRAS,PI
ACADEMIA KS SERRA TALHADA LTDA,87999951546,cel_recup,87,SERRA TALHADA,PE
CT PRIME FIT LTDA,87988437555,cel_recup,87,PETROLINA,PE
ACADEMIA COMPLEXO VIA SAUDE LTDA,88993558303,cel_recup,88,SOBRAL,CE
CK ACADEMIA FITNESS.COM LTDA,88997048645,cel_recup,88,JUAZEIRO DO NORTE,CE
MATCH FIT ACADEMIA IGUATU LTDA,88999270667,cel_recup,88,IGUATU,CE
A3 ACADEMIA LTDA,91985188066,cel_recup,91,BARCARENA,PA
BONY FIT ACADEMIA LTDA,91981287827,cel_recup,91,PARAUAPEBAS,PA
BONY FIT CONDICIONAMENTO FISICO LTDA,91981414242,cel_recup,91,SANTAREM,PA
ONE ACADEMIA LTDA,93992102040,cel_recup,93,ITAITUBA,PA
E C EMPREENDIMENTOS LTDA,94992999851,cel_recup,94,CANAA DOS CARAJAS,PA
EPIC STUDIO DE CONDICIONAMENTO FISICO LT,98985827060,cel_recup,98,SAO LUIS,MA
CASA DO FITNESS COMERCIO DE PRODUTOS ESP,99999999999,cel_recup,99,BRASILIA,DF
